#separator:tab
#html:false
vack/er, -ert, -ra	schön/hübsch
schön/hübsch	vack/er, -ert, -ra
läge, -t, -n, -na	Lage
Lage	läge, -t, -n, -na
internationell, -t, -a	international
international	internationell, -t, -a
företag, -et, --, -en	Unternehmen
Unternehmen	företag, -et, --, -en
som (Konjunktion)	wie (Konjunktion)
wie (Konjunktion)	som (Konjunktion)
gam/mal, -malt, -la	alt
alt	gam/mal, -malt, -la
lång, -t, -a	lang
lang	lång, -t, -a
histori/a, -an, -er, -erna	Geschichte (Historisch)
Geschichte (Historisch)	histori/a, -an, -er, -erna
trevlig, -t, -a	nett, schön
nett, schön	trevlig, -t, -a
ein trevlig stad att bo i	eine schöne Stadt zum Wohnen
eine schöne Stadt zum Wohnen	ein trevlig stad att bo i
(att) säg/a, -er, sa/sade, sagt	sagen
sagen	(att) säg/a, -er, sa/sade, sagt
många	viele
viele	många
intressant, --, -a	interessant
interessant	intressant, --, -a
sevärdhet, -en, -er, -erna	Sehenswürdigkeit
Sehenswürdigkeit	sevärdhet, -en, -er, -erna
skepp, -ett, --, -en	Schiff
Schiff	skepp, -ett, --, -en
samhälle, -t, -n, -na	Ortschaft/Ort, Gesellschaft/Volk
Ortschaft/Ort, Gesellschaft/Volk	samhälle, -t, -n, -na
stor, -t, -a	groß
groß	stor, -t, -a
mataffär, -en, -er, -erna	Lebensmittelgeschäft
Lebensmittelgeschäft	mataffär, -en, -er, -erna
varhus, -et, --, -en	Warenhaus
Warenhaus	varhus, -et, --, -en
vårdcentral, -en, -er, -erna	primäre medizinische Versorgung
primäre medizinische Versorgung	vårdcentral, -en, -er, -erna
apotek, -et, --, -en	Apotheke
Apotheke	apotek, -et, --, -en
bank, -en, -er, -erna	Bank (Geld & Sitzen)
Bank (Geld & Sitzen)	bank, -en, -er, -erna
parkeringsplats, -en, -er, -erna	Parkplatz
Parkplatz	parkeringsplats, -en, -er, -erna
bensinmack, -en, -ar, -arna	Tankstelle
Tankstelle	bensinmack, -en, -ar, -arna
bilverk/stad, -en, -städer, -städerna	Autowerkstatt
Autowerkstatt	bilverk/stad, -en, -städer, -städerna
liten, litet, små	klein
klein	liten, litet, små
kiosk, -en, -er, -erna	Kiosk
Kiosk	kiosk, -en, -er, -erna
station, -en, -er, -erna	Bahnhof
Bahnhof	station, -en, -er, -erna
kyrka, -n, -or, -orna	Kirche
Kirche	kyrka, -n, -or, -orna
(att) finnas, finns, fanns, funnits	vorhanden sein / bestehen / existieren
vorhanden sein / bestehen / existieren	(att) finnas, finns, fanns, funnits
det finns	es gibt
es gibt	det finns
invånar/e, -en, -e, -na	Einwohner
Einwohner	invånar/e, -en, -e, -na
läkar/e, -en, -e, -na	Arzt
Arzt	läkar/e, -en, -e, -na
sjö, -n, -ar, -arna	See
See	sjö, -n, -ar, -arna
badplats, -en, -er, -erna	Badeplatz
Badeplatz	badplats, -en, -er, -erna
till	nach
nach	till
mil, -en, --, -en	schwedische Meile (10km)
schwedische Meile (10km)	mil, -en, --, -en
inte så stor(t)	nicht besonders groß
nicht besonders groß	inte så stor(t)
i centrum	im Zentrum
im Zentrum	i centrum
utanför	außerhalb
außerhalb	utanför
(att) ligga vackert	schön gelegen sein
schön gelegen sein	(att) ligga vackert
lugn, -t, -a	ruhig
ruhig	lugn, -t, -a
i närheten av	in der Nähe von
in der Nähe von	i närheten av
någ/on, -ot, -ra	einer, eine, ein / jemand
einer, eine, ein / jemand	någ/on, -ot, -ra
Ja, det finns det.	Ja, das gibt es.
Ja, das gibt es.	Ja, det finns det.
Nej, det finns det inte.	Nein, das gibt es nicht.
Nein, das gibt es nicht.	Nej, det finns det inte.
Ja, det är det inte.	Ja, das ist es.
Ja, das ist es.	Ja, det är det inte.
Nej, det är det inte.	Nein, das ist es nicht.
Nein, das ist es nicht.	Nej, det är det inte.
Ja, det gör det.	Ja, das tut es.
Ja, das tut es.	Ja, det gör det.
